OrderDate,OrderNumber,OrderLineItem,ProductSold,SoldTo,SoldIn,OrderQuantity,SoldBy,Shipping_Type,Order_Status
4/6/2017,SO67711,1,528,12202,6,1,295,Self Pickup,ok
4/6/2017,SO67717,2,477,21247,10,2,293,Self Pickup,ok
4/6/2017,SO67758,1,385,20186,10,1,293,Self Pickup,ok
4/6/2017,SO67746,2,220,26566,10,1,293,Self Pickup,ok
4/6/2017,SO67746,3,490,26566,10,1,293,Self Pickup,ok
4/6/2017,SO67762,2,215,27009,10,1,293,Self Pickup,ok
4/6/2017,SO67702,2,478,14712,9,2,293,Self Pickup,ok
4/6/2017,SO67702,3,215,14712,9,1,293,Self Pickup,ok
4/6/2017,SO67748,4,223,21897,9,2,293,Self Pickup,ok
4/6/2017,SO67723,2,214,13921,9,1,293,Self Pickup,ok
4/6/2017,SO67757,1,385,14885,6,1,293,Self Pickup,ok
4/6/2017,SO67722,4,220,15292,6,1,293,Self Pickup,ok
4/6/2017,SO67739,1,356,12949,8,1,293,Self Pickup,ok
4/6/2017,SO67710,1,540,13860,1,1,293,Self Pickup,ok
4/6/2017,SO67727,2,214,18165,1,1,293,Self Pickup,ok
4/6/2017,SO67740,1,356,16145,4,1,293,Self Pickup,ok
4/6/2017,SO67713,1,477,16479,4,3,293,Self Pickup,ok
4/6/2017,SO67724,4,223,20881,4,2,293,Self Pickup,ok
4/6/2017,SO67708,1,535,26501,4,2,292,Self Pickup,ok
4/6/2017,SO67742,4,466,15214,1,2,292,Self Pickup,ok
4/6/2017,SO67700,1,476,26149,1,1,292,Self Pickup,ok
4/6/2017,SO67748,2,477,21897,4,2,292,Self Pickup,ok
4/6/2017,SO67733,1,587,14893,4,1,292,Self Pickup,ok
4/6/2017,SO67709,1,535,26246,4,1,292,Self Pickup,ok
4/6/2017,SO67736,1,356,16850,1,1,292,Self Pickup,ok
4/6/2017,SO67754,1,605,23815,1,1,292,Self Pickup,ok
4/6/2017,SO67738,1,362,16867,4,1,292,Self Pickup,ok
4/6/2017,SO67701,2,477,19972,4,2,292,Self Pickup,ok
4/6/2017,SO67715,1,478,20633,4,2,292,Self Pickup,ok
4/6/2017,SO67743,1,360,15134,4,1,292,Self Pickup,ok
4/6/2017,SO67722,2,478,15292,4,2,292,Self Pickup,ok
4/6/2017,SO67722,1,528,15292,4,2,292,Self Pickup,ok
4/6/2017,SO67703,2,485,19067,4,2,292,Self Pickup,ok
4/6/2017,SO67703,3,473,19067,4,1,292,Self Pickup,ok
4/6/2017,SO67710,3,480,13860,4,2,292,Self Pickup,ok
4/6/2017,SO67759,3,462,18502,4,1,292,Self Pickup,ok
4/6/2017,SO67737,4,484,16854,6,2,292,Self Pickup,ok
4/6/2017,SO67747,1,385,26745,6,1,292,Self Pickup,ok
4/6/2017,SO67747,3,539,26745,4,1,292,Self Pickup,ok
4/6/2017,SO67734,1,354,16869,4,1,292,Self Pickup,ok
4/6/2017,SO67713,3,214,16479,4,1,292,Self Pickup,ok
4/6/2017,SO67724,1,536,20881,4,2,292,Self Pickup,ok
4/6/2017,SO67724,3,214,20881,4,1,292,Self Pickup,ok
4/6/2017,SO67732,1,590,14894,4,1,291,Self Pickup,ok
4/6/2017,SO67756,1,584,23723,4,1,291,Self Pickup,ok
4/6/2017,SO67754,2,529,23815,9,2,291,Self Pickup,ok
4/6/2017,SO67704,2,483,19037,4,1,291,Self Pickup,ok
4/6/2017,SO67719,1,475,20119,4,1,289,Self Pickup,ok
4/6/2017,SO67700,2,481,26149,4,2,289,Self Pickup,ok
4/6/2017,SO67716,3,462,20443,4,1,288,Self Pickup,ok
4/6/2017,SO67762,1,584,27009,4,1,288,Self Pickup,ok
4/6/2017,SO67702,1,360,14712,6,1,288,Self Pickup,ok
4/6/2017,SO67733,2,474,14893,6,1,288,Self Pickup,ok
4/6/2017,SO67756,5,466,23723,9,3,288,Self Pickup,ok
4/6/2017,SO67743,2,537,15134,9,1,288,Self Pickup,ok
4/6/2017,SO67735,2,485,13088,1,2,288,Self Pickup,ok
4/6/2017,SO67726,3,223,17636,1,2,288,Self Pickup,ok
4/6/2017,SO67711,3,485,12202,1,2,288,Self Pickup,ok
4/6/2017,SO67721,1,477,24625,1,2,288,Self Pickup,ok
4/6/2017,SO67760,2,582,18228,1,1,287,Self Pickup,ok
4/6/2017,SO67716,1,478,20443,10,1,287,Self Pickup,ok
4/6/2017,SO67742,1,356,15214,10,1,287,Self Pickup,ok
4/6/2017,SO67705,1,490,11706,9,1,287,Self Pickup,ok
4/6/2017,SO67763,1,605,24698,9,1,287,Self Pickup,ok
4/6/2017,SO67712,1,529,13474,1,2,287,Self Pickup,ok
4/6/2017,SO67712,3,215,13474,1,1,287,Self Pickup,ok
4/6/2017,SO67753,1,560,25986,1,1,287,Self Pickup,ok
4/6/2017,SO67732,2,220,14894,1,1,287,Self Pickup,ok
4/6/2017,SO67749,1,574,27106,1,1,287,Self Pickup,ok
4/6/2017,SO67714,1,478,20692,1,2,287,Self Pickup,ok
4/6/2017,SO67756,2,479,23723,8,2,287,Self Pickup,ok
4/6/2017,SO67756,4,226,23723,8,1,287,Self Pickup,ok
4/6/2017,SO67723,1,485,13921,8,2,287,Self Pickup,ok
4/6/2017,SO67757,2,215,14885,1,1,287,Self Pickup,ok
4/6/2017,SO67754,3,538,23815,1,3,287,Self Pickup,ok
4/6/2017,SO67707,2,528,26046,1,2,287,Self Pickup,ok
4/6/2017,SO67745,1,385,17921,6,1,287,Self Pickup,ok
4/6/2017,SO67730,2,480,18541,6,3,287,Self Pickup,ok
4/6/2017,SO67728,1,537,11506,6,1,287,Self Pickup,ok
4/6/2017,SO67710,2,529,13860,6,2,287,Self Pickup,ok
4/6/2017,SO67697,3,215,15263,9,1,287,Self Pickup,ok
4/6/2017,SO67759,1,581,18502,9,1,287,Self Pickup,ok
4/6/2017,SO67726,4,214,17636,9,1,287,Self Pickup,ok
4/6/2017,SO67755,1,604,23454,4,1,287,Self Pickup,ok
4/6/2017,SO67711,5,477,12202,4,2,287,Self Pickup,ok
4/6/2017,SO67711,2,536,12202,4,1,287,Self Pickup,ok
4/6/2017,SO67751,2,214,27294,10,1,286,Self Pickup,ok
4/6/2017,SO67738,2,485,16867,10,3,286,Self Pickup,ok
4/6/2017,SO67738,3,478,16867,8,2,286,Self Pickup,ok
4/6/2017,SO67741,2,481,16829,8,1,286,Self Pickup,ok
4/6/2017,SO67711,4,478,12202,8,2,286,Self Pickup,ok
4/6/2017,SO67760,1,223,18228,8,2,285,Self Pickup,ok
4/6/2017,SO67699,1,475,13954,4,1,285,Self Pickup,ok
4/6/2017,SO67714,3,215,20692,4,1,285,Self Pickup,ok
4/6/2017,SO67754,4,486,23815,4,1,285,Self Pickup,ok
4/6/2017,SO67720,2,480,17406,4,2,285,Self Pickup,ok
4/6/2017,SO67737,1,360,16854,8,1,285,Self Pickup,ok
4/6/2017,SO67741,1,563,16829,4,1,285,Self Pickup,ok
4/6/2017,SO67742,3,528,15214,4,3,284,Self Pickup,ok
4/6/2017,SO67742,5,215,15214,4,1,284,Self Pickup,ok
4/6/2017,SO67751,3,229,27294,4,1,284,Self Pickup,ok
4/6/2017,SO67729,2,215,15571,1,1,284,Self Pickup,ok
4/6/2017,SO67746,1,387,26566,1,1,284,Self Pickup,ok
4/6/2017,SO67706,2,223,11697,7,2,284,Self Pickup,ok
4/6/2017,SO67748,1,379,21897,7,1,284,Self Pickup,ok
4/6/2017,SO67718,2,223,20020,9,2,284,Self Pickup,ok
4/6/2017,SO67709,2,480,26246,9,2,284,Self Pickup,ok
4/6/2017,SO67707,1,535,26046,9,2,284,Self Pickup,ok
4/6/2017,SO67707,3,471,26046,4,1,284,Self Pickup,ok
4/6/2017,SO67738,4,477,16867,4,2,284,Self Pickup,ok
4/6/2017,SO67715,2,477,20633,4,2,284,Self Pickup,ok
4/6/2017,SO67720,1,477,17406,6,2,284,Self Pickup,ok
4/6/2017,SO67704,1,362,19037,6,1,284,Self Pickup,ok
4/6/2017,SO67722,3,477,15292,6,1,284,Self Pickup,ok
4/6/2017,SO67735,1,358,13088,10,1,284,Self Pickup,ok
4/6/2017,SO67739,2,485,12949,10,1,284,Self Pickup,ok
4/6/2017,SO67755,2,538,23454,10,3,284,Self Pickup,ok
4/6/2017,SO67755,3,529,23454,10,2,284,Self Pickup,ok
4/6/2017,SO67764,1,564,15676,10,1,284,Self Pickup,ok
4/6/2017,SO67734,3,215,16869,10,1,284,Self Pickup,ok
4/6/2017,SO67724,2,528,20881,6,2,284,Self Pickup,ok
4/6/2017,SO67742,2,537,15214,6,1,283,Self Pickup,ok
4/6/2017,SO67725,1,528,19907,6,2,283,Self Pickup,ok
4/6/2017,SO67764,2,220,15676,6,1,283,Self Pickup,ok
4/6/2017,SO67759,2,215,18502,6,1,282,Self Pickup,ok
4/6/2017,SO67708,2,464,26501,6,2,281,Self Pickup,ok
4/6/2017,SO67736,2,215,16850,6,1,281,Self Pickup,ok
4/7/2017,SO67803,2,215,19050,10,1,293,Delivery Truck,ok
4/7/2017,SO67838,4,214,13011,10,1,292,Delivery Truck,ok
4/7/2017,SO67767,1,539,14315,1,2,292,Delivery Truck,ok
4/7/2017,SO67825,1,387,17922,8,1,292,Delivery Truck,ok
4/7/2017,SO67819,4,477,16111,8,1,291,Delivery Truck,missing
4/7/2017,SO67771,1,475,26671,4,1,288,Delivery Truck,missing
4/7/2017,SO67820,4,530,27763,9,3,288,Delivery Truck,ok
4/7/2017,SO67820,2,541,27763,9,2,288,Delivery Truck,ok
4/7/2017,SO67788,1,538,27422,1,2,287,Delivery Truck,ok
4/7/2017,SO67823,4,480,12623,1,2,287,Delivery Truck,ok
4/7/2017,SO67825,5,491,17922,1,1,287,Delivery Truck,ok
4/7/2017,SO67830,2,477,29264,1,2,284,Delivery Truck,ok
4/7/2017,SO67774,4,215,16428,1,1,284,Delivery Truck,ok
4/7/2017,SO67790,1,535,26284,1,3,296,Express Air,ok
4/7/2017,SO67791,1,536,11659,1,1,295,Express Air,ok
4/7/2017,SO67830,4,232,29264,1,1,295,Express Air,ok
4/7/2017,SO67792,3,215,21760,9,1,292,Express Air,ok
4/7/2017,SO67822,1,568,20923,4,1,287,Express Air,ok
4/7/2017,SO67811,2,479,17723,4,2,295,Regular Air,ok
4/7/2017,SO67782,1,480,11276,4,2,293,Regular Air,missing
4/7/2017,SO67788,2,529,27422,9,2,291,Regular Air,ok
4/7/2017,SO67778,1,358,14155,9,1,287,Regular Air,ok
4/7/2017,SO67812,2,480,21682,9,2,284,Regular Air,ok
4/7/2017,SO67831,4,215,27449,9,1,296,Self Pickup,ok
4/7/2017,SO67821,1,567,27771,4,1,296,Self Pickup,ok
4/7/2017,SO67770,2,215,23644,4,1,295,Self Pickup,ok
4/7/2017,SO67802,3,220,15701,4,1,295,Self Pickup,ok
4/7/2017,SO67806,1,477,19180,9,2,295,Self Pickup,ok
4/7/2017,SO67806,2,214,19180,9,1,295,Self Pickup,ok
4/7/2017,SO67803,1,485,19050,9,2,295,Self Pickup,ok
4/7/2017,SO67812,1,530,21682,7,2,295,Self Pickup,ok
4/7/2017,SO67826,1,604,27719,7,1,295,Self Pickup,ok
4/7/2017,SO67830,1,567,29264,9,1,295,Self Pickup,ok
4/7/2017,SO67825,4,487,17922,9,1,295,Self Pickup,ok
4/7/2017,SO67768,1,536,16697,9,3,295,Self Pickup,ok
4/7/2017,SO67794,3,484,20774,4,3,293,Self Pickup,ok
4/7/2017,SO67776,2,485,16424,4,2,293,Self Pickup,ok
4/7/2017,SO67835,2,229,17586,4,1,293,Self Pickup,ok
4/7/2017,SO67807,1,477,22496,4,2,293,Self Pickup,ok
4/7/2017,SO67807,3,214,22496,1,1,293,Self Pickup,ok
4/7/2017,SO67828,1,379,21943,1,1,293,Self Pickup,ok
4/7/2017,SO67802,2,540,15701,1,1,293,Self Pickup,ok
4/7/2017,SO67811,1,530,17723,9,2,293,Self Pickup,ok
4/7/2017,SO67799,1,223,29259,9,1,293,Self Pickup,ok
4/7/2017,SO67799,2,477,29259,9,1,293,Self Pickup,ok
4/7/2017,SO67824,1,578,12874,10,1,293,Self Pickup,ok
4/7/2017,SO67782,2,484,11276,10,1,293,Self Pickup,ok
4/7/2017,SO67774,3,528,16428,6,2,293,Self Pickup,ok
4/7/2017,SO67805,1,477,24045,6,2,293,Self Pickup,ok
4/7/2017,SO67781,1,581,18027,4,1,292,Self Pickup,ok
4/7/2017,SO67819,3,478,16111,4,3,292,Self Pickup,ok
4/7/2017,SO67838,3,541,13011,10,2,292,Self Pickup,ok
4/7/2017,SO67794,1,477,20774,10,2,292,Self Pickup,ok
4/7/2017,SO67837,2,489,14305,10,1,292,Self Pickup,ok
4/7/2017,SO67837,1,568,14305,9,1,292,Self Pickup,ok
4/7/2017,SO67772,1,480,15434,4,2,292,Self Pickup,ok
4/7/2017,SO67787,2,530,26255,8,3,292,Self Pickup,ok
4/7/2017,SO67767,2,480,14315,8,2,292,Self Pickup,ok
4/7/2017,SO67835,1,580,17586,8,1,292,Self Pickup,ok
4/7/2017,SO67800,2,480,15296,6,2,292,Self Pickup,ok
4/7/2017,SO67804,1,535,16473,6,2,292,Self Pickup,ok
4/7/2017,SO67793,1,478,15468,1,2,292,Self Pickup,ok
4/7/2017,SO67795,2,476,18913,1,1,292,Self Pickup,ok
4/7/2017,SO67773,1,479,20224,1,3,292,Self Pickup,ok
4/7/2017,SO67798,1,528,15563,9,2,292,Self Pickup,ok
4/7/2017,SO67792,2,477,21760,1,2,292,Self Pickup,ok
4/7/2017,SO67826,2,220,27719,1,1,292,Self Pickup,ok
4/7/2017,SO67766,1,539,14018,1,2,292,Self Pickup,ok
4/7/2017,SO67825,3,477,17922,1,2,292,Self Pickup,ok
4/7/2017,SO67838,1,561,13011,1,1,291,Self Pickup,ok
4/7/2017,SO67822,2,214,20923,1,1,291,Self Pickup,ok
4/7/2017,SO67823,3,541,12623,1,2,291,Self Pickup,ok
4/7/2017,SO67816,3,491,12565,8,1,291,Self Pickup,ok
4/7/2017,SO67786,1,535,26494,8,3,291,Self Pickup,ok
4/7/2017,SO67778,2,483,14155,4,1,291,Self Pickup,ok
4/7/2017,SO67775,1,590,17965,4,1,291,Self Pickup,ok
4/7/2017,SO67770,1,477,23644,10,1,288,Self Pickup,ok
4/7/2017,SO67789,1,540,24448,10,1,288,Self Pickup,ok
4/7/2017,SO67776,1,356,16424,10,1,288,Self Pickup,ok
4/7/2017,SO67787,1,541,26255,10,2,288,Self Pickup,ok
4/7/2017,SO67792,1,478,21760,10,2,288,Self Pickup,ok
4/7/2017,SO67815,1,223,12651,10,1,288,Self Pickup,ok
4/7/2017,SO67826,3,462,27719,10,2,288,Self Pickup,ok
4/7/2017,SO67786,2,480,26494,7,2,288,Self Pickup,ok
4/7/2017,SO67832,1,606,23463,7,1,288,Self Pickup,ok
4/7/2017,SO67783,1,529,29269,10,1,288,Self Pickup,ok
4/7/2017,SO67801,1,475,14542,10,1,287,Self Pickup,ok
4/7/2017,SO67819,2,485,16111,10,1,287,Self Pickup,ok
4/7/2017,SO67789,2,529,24448,10,1,287,Self Pickup,ok
4/7/2017,SO67829,1,352,15595,10,1,287,Self Pickup,ok
4/7/2017,SO67818,1,362,16845,6,1,287,Self Pickup,ok
4/7/2017,SO67818,3,472,16845,6,1,287,Self Pickup,ok
4/7/2017,SO67794,2,478,20774,10,3,287,Self Pickup,ok
4/7/2017,SO67769,1,528,20986,10,2,287,Self Pickup,ok
4/7/2017,SO67831,2,479,27449,7,3,287,Self Pickup,ok
4/7/2017,SO67787,3,480,26255,7,2,287,Self Pickup,ok
4/7/2017,SO67777,2,214,12735,4,1,287,Self Pickup,ok
4/7/2017,SO67777,1,356,12735,7,1,287,Self Pickup,ok
4/7/2017,SO67833,2,539,18545,7,2,287,Self Pickup,ok
4/7/2017,SO67796,1,474,20742,7,1,287,Self Pickup,ok
4/7/2017,SO67795,1,223,18913,7,2,287,Self Pickup,ok
4/7/2017,SO67811,3,477,17723,10,3,287,Self Pickup,ok
4/7/2017,SO67809,1,530,24715,9,2,287,Self Pickup,ok
4/7/2017,SO67773,2,477,20224,9,1,287,Self Pickup,ok
4/7/2017,SO67836,1,383,25308,10,1,287,Self Pickup,ok
4/7/2017,SO67779,2,477,14701,1,2,287,Self Pickup,ok
4/7/2017,SO67779,3,478,14701,1,2,287,Self Pickup,ok
4/7/2017,SO67825,2,479,17922,4,1,287,Self Pickup,ok
4/7/2017,SO67820,3,223,27763,4,2,287,Self Pickup,ok
4/7/2017,SO67808,2,480,26212,4,3,287,Self Pickup,ok
4/7/2017,SO67808,1,538,26212,7,2,287,Self Pickup,ok
4/7/2017,SO67797,1,528,15573,7,2,287,Self Pickup,ok
4/7/2017,SO67831,3,477,27449,7,2,286,Self Pickup,ok
4/7/2017,SO67810,1,541,12567,7,2,286,Self Pickup,ok
4/7/2017,SO67807,2,223,22496,7,3,286,Self Pickup,ok
4/7/2017,SO67791,2,480,11659,4,3,286,Self Pickup,ok
4/7/2017,SO67774,2,536,16428,6,1,286,Self Pickup,ok
4/7/2017,SO67774,1,588,16428,6,1,286,Self Pickup,ok
4/7/2017,SO67814,1,537,11877,6,1,285,Self Pickup,ok
4/7/2017,SO67819,5,482,16111,6,3,285,Self Pickup,ok
4/7/2017,SO67818,2,485,16845,9,3,285,Self Pickup,ok
4/7/2017,SO67838,2,530,13011,9,2,285,Self Pickup,ok
4/7/2017,SO67810,2,530,12567,9,3,285,Self Pickup,ok
4/7/2017,SO67817,1,592,19843,9,1,285,Self Pickup,ok
4/7/2017,SO67788,3,214,27422,4,1,285,Self Pickup,ok
4/7/2017,SO67790,2,480,26284,4,2,285,Self Pickup,ok
4/7/2017,SO67796,2,226,20742,9,1,285,Self Pickup,ok
4/7/2017,SO67809,2,466,24715,10,2,285,Self Pickup,ok
4/7/2017,SO67785,1,539,28974,10,2,285,Self Pickup,ok
4/7/2017,SO67816,4,464,12565,4,2,285,Self Pickup,ok
4/7/2017,SO67798,2,214,15563,4,1,285,Self Pickup,ok
4/7/2017,SO67779,4,220,14701,4,1,285,Self Pickup,ok
4/7/2017,SO67820,1,570,27763,4,1,285,Self Pickup,ok
4/7/2017,SO67801,2,223,14542,4,2,284,Self Pickup,ok
4/7/2017,SO67781,2,215,18027,10,1,284,Self Pickup,ok
4/7/2017,SO67819,1,360,16111,10,1,284,Self Pickup,ok
4/7/2017,SO67789,3,220,24448,10,1,284,Self Pickup,ok
4/7/2017,SO67769,2,480,20986,10,2,284,Self Pickup,ok
4/7/2017,SO67767,3,484,14315,4,3,284,Self Pickup,ok
4/7/2017,SO67765,1,539,17281,4,2,284,Self Pickup,ok
4/7/2017,SO67833,1,583,18545,9,1,284,Self Pickup,ok
4/7/2017,SO67823,2,530,12623,9,2,284,Self Pickup,ok
4/7/2017,SO67823,1,577,12623,9,1,284,Self Pickup,ok
4/7/2017,SO67816,1,478,12565,9,1,284,Self Pickup,ok
4/7/2017,SO67779,1,588,14701,9,1,284,Self Pickup,ok
4/7/2017,SO67813,1,485,13219,10,2,284,Self Pickup,ok
4/7/2017,SO67832,2,220,23463,7,1,284,Self Pickup,ok
4/7/2017,SO67780,1,583,17998,7,1,284,Self Pickup,ok
4/7/2017,SO67796,3,223,20742,7,3,283,Self Pickup,ok
4/7/2017,SO67834,1,581,18553,7,1,282,Self Pickup,ok
4/7/2017,SO67831,1,563,27449,8,1,282,Self Pickup,ok
4/7/2017,SO67800,1,528,15296,8,2,282,Self Pickup,ok
4/7/2017,SO67793,2,477,15468,8,2,282,Self Pickup,ok
4/7/2017,SO67816,2,477,12565,7,2,282,Self Pickup,ok
4/7/2017,SO67784,1,229,11844,7,1,282,Self Pickup,ok
4/7/2017,SO67827,1,606,25563,1,1,282,Self Pickup,ok
4/7/2017,SO67830,3,479,29264,1,2,282,Self Pickup,ok
4/7/2017,SO67802,1,529,15701,10,3,281,Self Pickup,ok
4/7/2017,SO67821,2,214,27771,10,1,281,Self Pickup,ok
4/7/2017,SO67775,2,226,17965,9,1,281,Self Pickup,ok
4/8/2017,SO67863,2,528,22102,6,2,296,Delivery Truck,ok
4/8/2017,SO67874,4,229,15108,6,1,295,Delivery Truck,ok
4/8/2017,SO67849,1,354,19057,7,1,295,Delivery Truck,ok
4/8/2017,SO67896,4,480,25994,7,2,295,Delivery Truck,ok
4/8/2017,SO67873,1,540,12862,7,1,292,Delivery Truck,ok
4/8/2017,SO67871,2,215,14693,7,1,292,Delivery Truck,ok
4/8/2017,SO67862,2,480,22101,10,2,288,Delivery Truck,ok
4/8/2017,SO67840,1,229,11857,1,1,287,Delivery Truck,ok
4/8/2017,SO67886,2,479,28698,1,2,287,Delivery Truck,ok
4/8/2017,SO67892,2,485,15181,1,2,285,Delivery Truck,cancelled
4/8/2017,SO67887,1,385,26752,4,1,284,Delivery Truck,ok
4/8/2017,SO67897,3,477,23818,4,2,283,Delivery Truck,ok
4/8/2017,SO67874,1,529,15108,4,2,283,Delivery Truck,refunded
4/8/2017,SO67874,3,215,15108,4,1,282,Delivery Truck,ok
4/8/2017,SO67841,3,480,11948,4,3,282,Delivery Truck,ok
4/8/2017,SO67903,2,477,12989,9,3,285,Express Air,ok
4/8/2017,SO67856,1,540,24758,9,1,284,Express Air,cancelled
4/8/2017,SO67848,2,477,12736,4,2,295,Regular Air,ok
4/8/2017,SO67879,2,480,13172,4,2,288,Regular Air,ok
4/8/2017,SO67892,3,220,15181,4,1,287,Regular Air,ok
4/8/2017,SO67850,1,356,14702,9,1,285,Regular Air,ok
4/8/2017,SO67868,1,477,11200,9,2,285,Regular Air,missing
4/8/2017,SO67891,1,605,25556,9,1,284,Regular Air,cancelled
4/8/2017,SO67871,1,528,14693,1,2,284,Regular Air,ok
4/8/2017,SO67884,3,537,18377,1,1,282,Regular Air,ok
4/8/2017,SO67901,2,223,23444,1,2,296,Self Pickup,ok
4/8/2017,SO67878,3,477,13294,1,1,296,Self Pickup,ok
4/8/2017,SO67850,2,478,14702,1,2,296,Self Pickup,ok
4/8/2017,SO67844,3,480,27149,1,3,296,Self Pickup,ok
4/8/2017,SO67893,3,540,21886,4,1,296,Self Pickup,ok
4/8/2017,SO67889,1,582,23663,4,1,296,Self Pickup,ok
4/8/2017,SO67869,1,528,14384,4,2,296,Self Pickup,ok
4/8/2017,SO67850,4,223,14702,4,2,295,Self Pickup,ok
4/8/2017,SO67863,1,536,22102,10,3,295,Self Pickup,ok
4/8/2017,SO67870,1,528,15282,10,2,295,Self Pickup,ok
4/8/2017,SO67864,1,536,11505,10,2,295,Self Pickup,ok
4/8/2017,SO67844,1,528,27149,10,2,295,Self Pickup,ok
4/8/2017,SO67890,1,381,26024,10,1,295,Self Pickup,ok
4/8/2017,SO67891,2,479,25556,10,3,295,Self Pickup,ok
4/8/2017,SO67849,2,480,19057,10,1,295,Self Pickup,ok
4/8/2017,SO67872,2,535,20557,10,2,295,Self Pickup,ok
4/8/2017,SO67857,1,529,24765,9,2,295,Self Pickup,ok
4/8/2017,SO67888,1,581,21979,9,1,295,Self Pickup,ok
4/8/2017,SO67896,1,579,25994,9,1,295,Self Pickup,ok
4/8/2017,SO67892,1,354,15181,9,1,295,Self Pickup,ok
4/8/2017,SO67894,4,223,15716,7,2,295,Self Pickup,ok
4/8/2017,SO67855,1,541,26258,7,2,293,Self Pickup,ok
4/8/2017,SO67900,2,215,21269,7,1,293,Self Pickup,ok
4/8/2017,SO67903,1,574,12989,8,1,293,Self Pickup,ok
4/8/2017,SO67842,2,528,16181,8,2,293,Self Pickup,ok
4/8/2017,SO67865,1,478,22053,8,3,293,Self Pickup,ok
4/8/2017,SO67893,4,215,21886,8,1,293,Self Pickup,ok
4/8/2017,SO67899,2,488,18548,1,1,293,Self Pickup,ok
4/8/2017,SO67898,3,529,23474,1,2,293,Self Pickup,ok
